s.no,Name,Location,Year,KmDriven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,doubleKmDriven
1284,Hyundai i20 Asta,Kolkata,2009,86000,Petrol,Manual,First,17.0 kmpl,1197 CC,80 bhp,5.0,,1.99,43000
1285,Chevrolet Beat LS,Pune,2012,130000,Petrol,Manual,First,18.6 kmpl,1199 CC,79.4 bhp,5.0,,2.5,65000
1286,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2013,148000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,4.85,74000
1287,Ford Figo Petrol LXI,Hyderabad,2010,102384,Petrol,Manual,First,15.6 kmpl,1196 CC,70 bhp,5.0,,2.65,51192
1288,Audi TT 2.0 TFSI,Kochi,2014,28524,Petrol,Automatic,First,9.9 kmpl,1984 CC,207.8 bhp,2.0,,27.35,14262
1289,Honda City i DTEC VX,Jaipur,2015,265356,Diesel,Manual,Second,25.1 kmpl,1498 CC,98.6 bhp,5.0,,6.9,132678
1290,Ford Figo Diesel Titanium,Hyderabad,2013,180400,Diesel,Manual,First,20.0 kmpl,1399 CC,68.05 bhp,5.0,,3.5,90200
1291,Toyota Innova 2.5 ZX Diesel 7 Seater,Delhi,2015,115708,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7.0,,12.5,57854
1292,Maruti Ciaz 1.4 AT Alpha,Delhi,2017,64000,Petrol,Automatic,First,19.12 kmpl,1373 CC,91.1 bhp,5.0,,9.2,32000
1293,Hyundai Grand i10 AT Asta,Mumbai,2015,118524,Petrol,Automatic,First,18.9 kmpl,1197 CC,82 bhp,5.0,,4.9,59262
1294,Honda City 1.3 DX,Delhi,2009,220020,Petrol,Manual,First,12.8 kmpl,,,,,3.2,110010
1295,Ford EcoSport 1.0 Ecoboost Titanium Plus BE,Kochi,2014,216692,Petrol,Manual,First,18.88 kmpl,999 CC,123.24 bhp,5.0,,5.55,108346
1296,Skoda Octavia Ambition 1.8 TSI AT,Ahmedabad,2014,100000,Petrol,Automatic,First,14.7 kmpl,1798 CC,177.6 bhp,5.0,,13.5,50000
1297,Fiat Linea Emotion (Diesel),Kolkata,2010,290000,Diesel,Manual,First,20.4 kmpl,1248 CC,91.7 bhp,5.0,,2.6,145000
1298,Maruti Swift Lxi BSIII,Jaipur,2015,156000,Petrol,Manual,First,16.1 kmpl,1298 CC,88.2 bhp,5.0,,4.5,78000
1299,Land Rover Discovery 4 TDV6 SE,Delhi,2013,130000,Diesel,Automatic,Second,11.8 kmpl,2993 CC,180 bhp,7.0,,34.0,65000
1300,Toyota Innova 2.5 V Diesel 7-seater,Hyderabad,2012,240000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,7.0,,12.0,120000
1301,Maruti Swift LDI,Mumbai,2015,28000,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5.0,7.13 Lakh,5.25,14000
1302,Audi A6 2011-2015 2.0 TDI Premium Plus,Kochi,2014,114912,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5.0,,21.56,57456
1303,BMW 5 Series 520d Luxury Line,Coimbatore,2012,88900,Diesel,Automatic,First,22.48 kmpl,1995 CC,190 bhp,5.0,71.82 Lakh,24.68,44450
1304,Hyundai i20 Magna Optional 1.2,Delhi,2013,255108,Petrol,Manual,First,18.5 kmpl,1197 CC,82.9 bhp,5.0,,3.67,127554
1305,BMW X1 M Sport sDrive 20d,Mumbai,2016,62000,Diesel,Automatic,First,17.05 kmpl,1995 CC,190 bhp,5.0,50.97 Lakh,29.5,31000
1306,Toyota Etios G,Delhi,2012,120000,Petrol,Manual,First,17.6 kmpl,1496 CC,88.73 bhp,5.0,,3.1,60000
1307,Tata Indigo LX,Ahmedabad,2015,156016,Diesel,Manual,First,17.0 kmpl,1405 CC,70 bhp,5.0,,2.9,78008
1308,Mercedes-Benz M-Class ML 350 4Matic,Bangalore,2014,66000,Diesel,Automatic,Second,0.0 kmpl,2987 CC,165 bhp,5.0,,43.0,33000
1309,Volkswagen Beetle 2.0,Mumbai,2009,54156,Petrol,Automatic,First,10.98 kmpl,1984 CC,114.4 bhp,4.0,,15.95,27078
1310,Volkswagen Polo GT TDI,Hyderabad,2011,229100,Diesel,Manual,First,19.7 kmpl,1598 CC,103.6 bhp,5.0,,4.5,114550
1311,Hyundai Grand i10 CRDi Magna,Delhi,2014,90000,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,5.0,,3.49,45000
1312,Maruti Swift VDI BSIV,Delhi,2014,229276,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5.0,,4.25,114638
1313,Hyundai Verna CRDi 1.4 E,Chennai,2008,484388,Diesel,Manual,Second,24.0 kmpl,1396 CC,88.76 bhp,5.0,10.73 Lakh,1.9,242194
1314,BMW 5 Series 2003-2012 525d,Mumbai,2011,178000,Diesel,Automatic,First,16.73 kmpl,1995 CC,218 bhp,5.0,,16.57,89000
1315,Honda City 1.5 S MT,Bangalore,2012,144000,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,,5.75,72000
1316,Audi A4 2.0 TDI,Delhi,2013,72000,Diesel,Automatic,Second,16.55 kmpl,1968 CC,147.51 bhp,5.0,,14.0,36000
1317,Fiat Linea Classic Plus 1.3 Multijet,Jaipur,2013,172000,Diesel,Manual,Second,19.5 kmpl,1248 CC,75 bhp,5.0,9.5 Lakh,2.5,86000
1318,Honda City 1.3 EXI,Ahmedabad,2002,170000,Petrol,Manual,First,13.0 kmpl,1343 CC,90 bhp,5.0,,1.2,85000
1320,BMW 3 Series 320d Luxury Line,Kochi,2013,150452,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5.0,52.46 Lakh,13.95,75226
1321,Ford Fiesta 1.4 Duratec EXI,Chennai,2007,200000,Petrol,Manual,First,16.6 kmpl,1388 CC,68 bhp,5.0,,1.6,100000
1322,Tata Nano XTA,Coimbatore,2016,10480,Petrol,Automatic,First,21.9 kmpl,624 CC,37.48 bhp,4.0,,3.6,5240
1324,Maruti Ignis 1.2 Delta,Coimbatore,2019,33724,Petrol,Manual,First,20.89 kmpl,1197 CC,81.80 bhp,5.0,6.07 Lakh,6.06,16862
1325,Maruti Swift Dzire ZXi,Coimbatore,2013,118508,Petrol,Manual,Second,17.5 kmpl,1298 CC,85.8 bhp,5.0,,5.29,59254
1326,Ford Ecosport 1.5 DV5 MT Titanium,Jaipur,2014,120000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,,5.75,60000
1327,Maruti Swift 1.3 ZXI,Hyderabad,2015,201180,Petrol,Manual,First,16.1 kmpl,,,,,5.8,100590
1328,Maruti Swift Dzire VXI,Coimbatore,2014,95348,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,5.0,,5.72,47674
1329,Hyundai i10 Sportz AT,Kochi,2014,246068,Petrol,Automatic,First,16.95 kmpl,1197 CC,78.9 bhp,5.0,,4.39,123034
1330,Mahindra XUV500 W6 2WD,Coimbatore,2016,125892,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,,11.05,62946
1331,Hyundai i20 Magna 1.4 CRDi,Delhi,2015,267292,Diesel,Manual,Second,22.54 kmpl,1396 CC,88.73 bhp,5.0,,4.83,133646
1333,Hyundai i20 Asta 1.4 CRDi,Chennai,2012,214000,Diesel,Manual,Second,21.27 kmpl,1396 CC,88.76 bhp,5.0,,4.5,107000
1334,BMW 7 Series 730Ld,Mumbai,2011,110000,Diesel,Automatic,Second,16.46 kmpl,2993 CC,258 bhp,5.0,,19.5,55000
1335,Skoda Rapid 1.6 MPI AT Style Plus,Mumbai,2017,48000,Petrol,Automatic,First,14.3 kmpl,1598 CC,103.52 bhp,5.0,,8.75,24000
1336,Audi Q7 45 TDI Quattro Technology,Mumbai,2016,40004,Diesel,Automatic,First,14.75 kmpl,2967 CC,245 bhp,7.0,1.04 Cr,67.0,20002
1337,Honda City i VTEC VX,Kochi,2016,217268,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,5.0,,8.4,108634
1338,Hyundai Xcent 1.2 Kappa SX,Mumbai,2016,20400,Petrol,Manual,First,19.1 kmpl,1197 CC,82 bhp,5.0,,4.99,10200
1339,Honda City i DTec E,Coimbatore,2016,97348,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5.0,,8.18,48674
1340,Honda Brio S Option MT,Pune,2012,158000,Petrol,Manual,First,18.4 kmpl,1198 CC,86.8 bhp,5.0,,2.9,79000
1341,Maruti Ciaz ZDi Plus SHVS,Jaipur,2015,81000,Diesel,Manual,First,28.09 kmpl,1248 CC,88.5 bhp,5.0,,7.1,40500
1342,Maruti Swift Dzire VDI Optional,Pune,2016,46000,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5.0,,7.05,23000
1343,Honda CR-V 2.4L 4WD AT,Pune,2015,126100,Petrol,Automatic,First,11.1 kmpl,2354 CC,158.8 bhp,5.0,,17.5,63050
1344,Toyota Corolla Altis 2008-2013 1.8 VL AT,Mumbai,2008,156000,Petrol,Automatic,Second,14.53 kmpl,1794 CC,138.1 bhp,5.0,,3.41,78000
1346,Honda City 1.5 V MT,Coimbatore,2012,264980,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,,5.68,132490
1347,Mahindra Scorpio LX BS IV,Bangalore,2007,148224,Diesel,Manual,First,12.05 kmpl,2179 CC,120 bhp,9.0,,4.1,74112
1348,Skoda Laura 1.8 TSI Ambiente,Delhi,2011,175340,Petrol,Manual,First,13.4 kmpl,1798 CC,157.8 bhp,5.0,,4.0,87670
1349,BMW 3 Series 320d Sport Line,Hyderabad,2015,20000,Diesel,Automatic,First,18.88 kmpl,1995 CC,184 bhp,5.0,,30.0,10000
1350,Maruti SX4 Zxi BSIII,Chennai,2007,249972,Petrol,Manual,First,15.0 kmpl,1586 CC,104.68 bhp,5.0,,1.8,124986
1351,Maruti Ciaz VXi Plus,Kochi,2015,89240,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5.0,,6.93,44620
1352,Land Rover Range Rover 3.6 TDV8 Vogue SE Diesel,Bangalore,2012,133076,Diesel,Automatic,First,10.2 kmpl,4367 CC,308 bhp,7.0,,70.0,66538
1353,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Ahmedabad,2013,120000,Diesel,Manual,First,12.99 kmpl,2494 CC,100 bhp,7.0,,7.9,60000
1354,Hyundai Santro Xing GL,Kochi,2011,41684,Petrol,Manual,First,0.0 kmpl,1086 CC,62 bhp,5.0,,2.78,20842
1355,Hyundai Santa Fe 4WD AT,Chennai,2014,220000,Diesel,Automatic,First,13.01 kmpl,2199 CC,194.3 bhp,7.0,,14.4,110000
1356,Mercedes-Benz New C-Class C250 Avantgarde,Mumbai,2011,90000,Petrol,Automatic,Second,11.74 kmpl,1796 CC,186 bhp,5.0,,13.5,45000
1358,Maruti Alto LXi,Coimbatore,2012,98016,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5.0,,2.88,49008
1359,Maruti Alto 800 2016-2019 LXI,Kolkata,2016,62000,Petrol,Manual,First,24.7 kmpl,796 CC,47.3 bhp,5.0,,2.15,31000
1360,Nissan Sunny 2011-2014 XV,Pune,2013,16000,Petrol,Manual,First,16.95 kmpl,1498 CC,97.7 bhp,5.0,,3.75,8000
1361,Maruti Alto 800 2016-2019 VXI,Mumbai,2019,684,Petrol,Manual,First,24.7 kmpl,796 CC,47.3 bhp,5.0,,3.6,342
1362,Maruti Alto K10 VXI,Kolkata,2018,4200,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5.0,4.33 Lakh,3.6,2100
1363,Hyundai Grand i10 1.2 Kappa Sportz AT,Coimbatore,2018,82668,Petrol,Automatic,First,18.9 kmpl,1197 CC,81.86 bhp,5.0,8.63 Lakh,7.55,41334
1364,Honda Mobilio S i DTEC,Kolkata,2015,100000,Diesel,Manual,First,24.2 kmpl,1498 CC,98.6 bhp,7.0,,4.7,50000
1365,Tata Manza Aqua Quadrajet,Jaipur,2010,200060,Diesel,Manual,Second,18.8 kmpl,1248 CC,90 bhp,5.0,,1.6,100030
1366,Chevrolet Optra Magnum 2.0 LT,Pune,2011,150744,Diesel,Manual,First,16.52 kmpl,1991 CC,123.7 bhp,5.0,,3.34,75372
1367,Honda City i VTEC CVT VX,Kochi,2016,241900,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,5.0,,9.1,120950
1368,Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2019,73812,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5.0,6.68 Lakh,6.17,36906
1369,Hyundai Verna CRDi 1.6 SX,Hyderabad,2008,193156,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,5.0,14.07 Lakh,2.5,96578
1370,Nissan Micra XL,Kolkata,2016,124004,Petrol,Manual,First,18.44 kmpl,1198 CC,75 bhp,5.0,,3.0,62002
1371,Hyundai Verna 1.6 SX,Jaipur,2012,131800,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,,5.75,65900
1372,Hyundai Creta 1.6 VTVT E Plus,Bangalore,2017,52492,Petrol,Manual,First,15.29 kmpl,1591 CC,121.3 bhp,5.0,,10.75,26246
1373,Maruti Wagon R VXI BS IV,Jaipur,2013,125400,Petrol,Manual,Second,20.51 kmpl,998 CC,67.04 bhp,5.0,,2.85,62700
1374,Honda Accord 2.4 Elegance A/T,Chennai,2008,180000,Petrol,Automatic,First,10.2 kmpl,2354 CC,180 bhp,5.0,,6.5,90000
1375,Honda City 1.5 S AT,Bangalore,2016,72000,Petrol,Automatic,First,16.8 kmpl,1497 CC,118 bhp,5.0,,9.45,36000
1376,Maruti Baleno Alpha 1.3,Delhi,2016,92000,Diesel,Manual,First,27.39 kmpl,1248 CC,74 bhp,5.0,,6.75,46000
1377,Honda City i DTec V,Coimbatore,2017,292012,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5.0,,7.75,146006
1378,Hyundai i20 Era 1.4 CRDi,Kochi,2014,93132,Diesel,Manual,First,22.54 kmpl,1396 CC,88.76 bhp,5.0,,4.4,46566
1379,Mercedes-Benz E-Class 2015-2017 E350 Edition E,Jaipur,2015,165972,Diesel,Automatic,First,13.0 kmpl,2987 CC,265 bhp,5.0,,42.0,82986
1380,Nissan Terrano XV 110 PS,Kochi,2014,207576,Diesel,Manual,First,19.01 kmpl,1461 CC,108.5 bhp,5.0,,5.67,103788
1381,Renault Duster 110PS Diesel RxZ AMT,Bangalore,2016,90000,Diesel,Automatic,First,19.6 kmpl,1461 CC,108.45 bhp,5.0,15.05 Lakh,11.5,45000
1382,Maruti Wagon R LXI Minor,Pune,2009,240000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,,1.69,120000
1383,Hyundai Getz 1.5 CRDi GVS,Jaipur,2009,389436,Diesel,Manual,Second,17.1 kmpl,1493 CC,110 bhp,5.0,,1.8,194718
1384,Maruti Ritz LXi,Mumbai,2016,124000,Petrol,Manual,First,18.5 kmpl,1197 CC,85.80 bhp,5.0,,3.2,62000
1385,Honda City 1.5 GXI,Pune,2004,230000,Petrol,Manual,Second,0.0 kmpl,,,,,1.5,115000
1386,BMW 5 Series 520d Sport Line,Kochi,2019,73492,Diesel,Automatic,First,22.48 kmpl,1995 CC,187.74 bhp,5.0,,45.86,36746
1387,Volkswagen Polo 1.2 MPI Highline,Hyderabad,2016,241812,Petrol,Manual,First,16.47 kmpl,1198 CC,74 bhp,5.0,,5.1,120906
1389,Ford Figo Petrol ZXI,Mumbai,2010,276036,Petrol,Manual,Second,15.6 kmpl,1196 CC,70 bhp,5.0,,2.4,138018
1390,BMW 3 Series 320d Luxury Line,Hyderabad,2013,60000,Diesel,Automatic,First,18.88 kmpl,1995 CC,184 bhp,5.0,,22.0,30000
1391,Hyundai Verna 1.6 SX CRDi (O),Delhi,2012,282828,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,,4.28,141414
1392,Renault Duster 85PS Diesel RxL,Coimbatore,2015,258708,Diesel,Manual,First,20.45 kmpl,1461 CC,83.8 bhp,5.0,,5.67,129354
1393,Hyundai Grand i10 1.2 Kappa Magna AT,Bangalore,2018,6000,Petrol,Automatic,First,18.9 kmpl,1197 CC,81.86 bhp,5.0,7.98 Lakh,6.2,3000
1394,BMW X1 sDrive20d,Bangalore,2013,98000,Diesel,Automatic,Second,17.05 kmpl,1995 CC,184 bhp,5.0,,14.49,49000
1395,Maruti Ritz VDi,Pune,2010,142000,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5.0,,3.0,71000
1396,Hyundai i10 Era 1.1 iTech SE,Jaipur,2010,104000,Petrol,Manual,Second,19.81 kmpl,1086 CC,68.05 bhp,5.0,,2.25,52000
1397,BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Kochi,2016,142636,Diesel,Automatic,First,15.97 kmpl,2993 CC,258 bhp,7.0,,43.78,71318
1398,Honda City V MT Exclusive,Kochi,2019,21508,Petrol,Manual,First,16.8 kmpl,1497 CC,116.3 bhp,5.0,,11.45,10754
1399,Mahindra Ssangyong Rexton RX7,Delhi,2014,130000,Diesel,Automatic,First,11.18 kmpl,2696 CC,184 bhp,7.0,,10.5,65000
1400,Ford Ecosport 1.5 DV5 MT Titanium Optional,Coimbatore,2015,185416,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,,7.48,92708
1401,Maruti Alto LXi,Coimbatore,2010,192420,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5.0,,3.1,96210
1402,Volkswagen Polo 1.2 MPI Highline,Mumbai,2011,187036,Petrol,Manual,First,16.47 kmpl,1198 CC,74 bhp,5.0,,2.55,93518
1403,Volkswagen Polo Diesel Comfortline 1.2L,Jaipur,2013,124000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,3.5,62000
1404,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2012,140700,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,2.59,70350
1405,Maruti Ertiga ZDI,Kolkata,2013,140000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.8 bhp,7.0,,5.45,70000
1406,Ford EcoSport 1.5 TDCi Ambiente,Kolkata,2017,60000,Diesel,Manual,First,22.77 kmpl,1498 CC,98.59 bhp,5.0,,6.0,30000
1407,Toyota Innova Crysta 2.8 ZX AT,Kolkata,2016,133236,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7.0,24.82 Lakh,15.49,66618
1408,BMW 5 Series 523i Sedan,Mumbai,2010,138600,Petrol,Automatic,Second,10.8 kmpl,2497 CC,150 bhp,5.0,,12.5,69300
1409,Maruti Swift Dzire Tour LDI,Kolkata,2017,296000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,,4.75,148000
1410,Ford Ecosport 1.0 Ecoboost Platinum Edition,Mumbai,2017,44000,Petrol,Manual,First,18.88 kmpl,999 CC,123.24 bhp,5.0,,7.85,22000
1411,Hyundai Verna CRDi SX,Ahmedabad,2013,150000,Diesel,Manual,First,16.8 kmpl,1493 CC,110 bhp,5.0,,6.0,75000
1412,Tata Zest Revotron 1.2T XM,Mumbai,2016,87412,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,5.0,7.63 Lakh,4.0,43706
1413,Audi A7 2011-2015 3.0 TDI Quattro,Mumbai,2011,84000,Diesel,Automatic,First,14.4 kmpl,2967 CC,241.4 bhp,5.0,,28.75,42000
1414,Tata Indica Vista Quadrajet VX,Pune,2012,130000,Diesel,Manual,First,22.3 kmpl,1248 CC,74 bhp,5.0,,2.5,65000
1415,Maruti Swift Dzire VDI,Delhi,2015,152256,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5.0,,5.5,76128
1416,Fiat Linea Emotion,Kolkata,2010,79704,Petrol,Manual,First,16.0 kmpl,1368 CC,90 bhp,5.0,,1.59,39852
1417,Hyundai i20 1.2 Spotz,Mumbai,2017,74692,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,,6.22,37346
1418,Hyundai EON Era Plus,Kolkata,2016,46332,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,,2.75,23166
1420,Mercedes-Benz GLA Class 200 CDI SPORT,Pune,2017,100000,Diesel,Automatic,First,17.9 kmpl,2143 CC,136 bhp,5.0,,25.0,50000
1421,Maruti Celerio VXI,Delhi,2014,154000,Petrol,Manual,First,23.1 kmpl,998 CC,67.04 bhp,5.0,,2.8,77000
1422,Chevrolet Beat LT,Mumbai,2014,109780,Petrol,Manual,Second,17.8 kmpl,1199 CC,76.8 bhp,5.0,,2.45,54890
1423,Honda Jazz 1.2 V AT i VTEC Privilege,Pune,2016,42000,Petrol,Automatic,First,19.0 kmpl,1199 CC,88.7 bhp,5.0,,6.35,21000
1424,BMW 3 Series 320d Highline,Mumbai,2009,234228,Diesel,Automatic,Third,16.07 kmpl,1995 CC,181 bhp,5.0,,8.0,117114
1425,Renault Duster 110PS Diesel RxL,Bangalore,2014,140000,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5.0,,8.25,70000
1426,Ford Figo 2015-2019 1.5P Titanium AT,Mumbai,2017,32000,Petrol,Automatic,First,17.01 kmpl,1499 CC,110.4 bhp,5.0,,5.95,16000
1427,Toyota Innova Crysta 2.4 VX MT,Kochi,2018,35596,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7.0,22.86 Lakh,19.92,17798
1428,Chevrolet Beat Diesel LS,Kochi,2016,334516,Diesel,Manual,First,25.44 kmpl,936 CC,56.3 bhp,5.0,,3.15,167258
1429,Volkswagen Polo GTI,Chennai,2014,140236,Petrol,Automatic,First,17.21 kmpl,1798 CC,189 bhp,4.0,,5.75,70118
1430,Ford Endeavour 3.2 Trend AT 4X4,Kochi,2018,61104,Diesel,Automatic,First,10.91 kmpl,3198 CC,197.2 bhp,7.0,,32.44,30552
1431,Hyundai Verna 1.6 SX CRDI (O) AT,Kochi,2016,179500,Diesel,Automatic,Second,22.32 kmpl,1582 CC,126.32 bhp,5.0,,8.01,89750
1432,Ford Figo 2015-2019 1.2P Titanium Opt MT,Coimbatore,2017,100380,Petrol,Manual,First,18.16 kmpl,1196 CC,86.8 bhp,5.0,,6.48,50190
1433,Maruti 800 AC,Jaipur,2007,118000,Petrol,Manual,First,16.1 kmpl,796 CC,37 bhp,4.0,,0.75,59000
1434,Honda City i DTEC V,Kolkata,2014,72000,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5.0,,5.0,36000
1435,Mahindra XUV500 W8 2WD,Mumbai,2012,74000,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,,7.75,37000
1436,Ford Figo Diesel ZXI,Chennai,2010,180000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5.0,,2.6,90000
1437,Ford EcoSport 1.5 Petrol Titanium,Pune,2018,34000,Petrol,Manual,First,17.0 kmpl,1497 CC,121.36 bhp,5.0,11.06 Lakh,9.2,17000
1438,Hyundai i20 Asta 1.2,Mumbai,2015,170300,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,,5.05,85150
1439,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Hyderabad,2012,262000,Diesel,Manual,First,12.99 kmpl,2494 CC,100 bhp,7.0,,9.6,131000
1440,Renault Duster 85PS Diesel RxL Optional,Mumbai,2013,148000,Diesel,Manual,First,20.46 kmpl,1461 CC,83.8 bhp,5.0,,5.5,74000
1441,Toyota Innova 2.5 VX (Diesel) 8 Seater,Mumbai,2013,94468,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,8.0,,9.35,47234
1442,Honda City 1.5 S MT,Delhi,2009,926692,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,,2.6,463346
1443,Maruti Alto K10 VXI,Hyderabad,2016,20000,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5.0,4.53 Lakh,3.5,10000
1444,Nissan Micra Active XL Petrol,Kochi,2016,197556,Petrol,Manual,First,19.49 kmpl,1198 CC,67.04 bhp,5.0,,4.26,98778
1445,Maruti Celerio VXI AT,Chennai,2016,24000,Petrol,Automatic,Second,23.1 kmpl,998 CC,67.04 bhp,5.0,,4.25,12000
1446,Mercedes-Benz New C-Class 200 Kompressor,Hyderabad,2010,130000,Petrol,Manual,Second,11.7 kmpl,1796 CC,178 bhp,5.0,,11.75,65000
1447,Ford Fiesta Diesel Style,Chennai,2013,354000,Diesel,Manual,First,23.5 kmpl,1498 CC,88.7 bhp,5.0,,3.5,177000
1448,Hyundai Verna 1.6 VTVT S,Jaipur,2015,178000,Petrol,Manual,First,17.01 kmpl,1591 CC,121.3 bhp,5.0,,7.5,89000
1449,Hyundai i20 1.4 Asta (AT),Chennai,2009,144000,Petrol,Automatic,Third,15.0 kmpl,1396 CC,100 bhp,5.0,,3.25,72000
1450,Maruti Swift Dzire VXi,Chennai,2012,98000,Petrol,Manual,First,17.5 kmpl,1298 CC,85.8 bhp,5.0,,4.9,49000
1451,Mercedes-Benz New C-Class C 220CDIBE Avantgarde Command,Hyderabad,2014,205420,Diesel,Automatic,First,14.84 kmpl,2143 CC,170 bhp,5.0,,27.0,102710
1452,Hyundai Elite i20 Petrol Asta,Kochi,2017,26920,Petrol,Manual,First,18.6 kmpl,1197 CC,81.86 bhp,5.0,,8.91,13460
1453,Hyundai Verna 1.6 VTVT EX AT,Kochi,2014,71284,Petrol,Automatic,First,17.01 kmpl,1591 CC,121.4 bhp,5.0,,6.69,35642
1454,Chevrolet Cruze LTZ,Kochi,2014,211580,Diesel,Manual,First,17.3 kmpl,1998 CC,163.7 bhp,5.0,,6.02,105790
1455,Toyota Corolla Altis 1.8 G,Mumbai,2010,186000,Petrol,Manual,First,14.28 kmpl,1798 CC,138.03 bhp,5.0,19.39 Lakh,4.5,93000
1456,Maruti A-Star Vxi,Pune,2011,140000,Petrol,Manual,First,19.0 kmpl,998 CC,66.1 bhp,5.0,,2.0,70000
1457,Nissan Micra Diesel XV Premium,Kolkata,2012,64096,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5.0,,2.4,32048
1458,Tata Nano LX,Pune,2013,9400,Petrol,Manual,First,25.4 kmpl,624 CC,37.48 bhp,4.0,,1.2,4700
1459,Maruti Swift Dzire Tour LDI,Delhi,2014,143600,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,,2.9,71800
1460,Land Rover Range Rover Sport 2005 2012 Sport,Coimbatore,2008,138156,Petrol,Manual,First,0.0 kmpl,,,,,40.88,69078
1461,Audi Q3 2.0 TDI Quattro,Ahmedabad,2016,90000,Diesel,Automatic,First,17.32 kmpl,1968 CC,184 bhp,5.0,,27.0,45000
1462,Honda Amaze VX i-DTEC,Chennai,2016,30776,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,,7.5,15388
1463,Chevrolet Optra 1.6 LS,Mumbai,2004,197596,Petrol,Manual,First,14.7 kmpl,1599 CC,104 bhp,5.0,,1.5,98798
1464,Audi Q5 2.0 TDI Premium Plus,Hyderabad,2016,86000,Diesel,Automatic,First,14.16 kmpl,1968 CC,174.3 bhp,5.0,,39.5,43000
1465,Maruti Ritz VDi,Hyderabad,2012,170224,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5.0,,3.39,85112
1466,Mahindra Scorpio S6 7 Seater,Kochi,2018,75608,Diesel,Manual,First,15.4 kmpl,2179 CC,120 bhp,7.0,,12.4,37804
